longitude,latitude,elevation,slope_deg,aspect_sin,aspect_cos,curvature,relief_amplitude,roughness,plan_curvature,profile_curvature
88.0,21.5,0.0,,,,,,,,
88.05,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.1,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.14999999999999,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.19999999999999,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.24999999999999,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.29999999999998,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.34999999999998,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.39999999999998,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.44999999999997,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.49999999999997,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.54999999999997,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.59999999999997,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.64999999999996,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.69999999999996,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.74999999999996,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.79999999999995,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.84999999999995,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.89999999999995,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.94999999999995,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
88.99999999999994,21.5,0.0,,,,,,,,
89.04999999999994,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.09999999999994,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.14999999999993,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.19999999999993,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.24999999999993,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.29999999999993,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.34999999999992,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.39999999999992,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.44999999999992,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.49999999999991,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.54999999999991,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.59999999999991,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.6499999999999,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.6999999999999,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.7499999999999,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.7999999999999,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.8499999999999,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.89999999999989,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.94999999999989,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
89.99999999999989,21.5,0.0,,,,,,,,
90.04999999999988,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
90.09999999999988,21.5,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0
